   0.0000000e+00	   0.0000000e+00	   1.4600000e+01	
   1.0000000e+01	   0.0000000e+00	   1.2900000e+01	
   2.0000000e+01	   0.0000000e+00	   1.1400000e+01	
   0.0000000e+00	   5.0000000e+00	   1.2800000e+01	
   1.0000000e+01	   5.0000000e+00	   1.1300000e+01	
   2.0000000e+01	   5.0000000e+00	   1.0300000e+01	
   0.0000000e+00	   1.0000000e+01	   1.1300000e+01	
   1.0000000e+01	   1.0000000e+01	   1.0100000e+01	
   2.0000000e+01	   1.0000000e+01	   8.9600000e+00	
   0.0000000e+00	   1.5000000e+01	   1.0100000e+01	
   1.0000000e+01	   1.5000000e+01	   9.0300000e+00	
   2.0000000e+01	   1.5000000e+01	   8.0800000e+00	
   0.0000000e+00	   2.0000000e+01	   9.0900000e+00	
   1.0000000e+01	   2.0000000e+01	   8.1700000e+00	
   2.0000000e+01	   2.0000000e+01	   7.3500000e+00	
   0.0000000e+00	   2.5000000e+01	   8.2600000e+00	
   1.0000000e+01	   2.5000000e+01	   7.4600000e+00	
   2.0000000e+01	   2.5000000e+01	   6.7300000e+00	
   0.0000000e+00	   3.0000000e+01	   7.5600000e+00	
   1.0000000e+01	   3.0000000e+01	   6.8500000e+00	
   2.0000000e+01	   3.0000000e+01	   6.2000000e+00	
